Mã hàng	ĐVT	Tên hàng
364413	Cái	Xylanh lấy máu động mạch 1ml có chế độ tự động hút máu (có kim cỡ 23G)
364415	Cái	Xylanh lấy máu động mạch 1ml có chế độ tự động hút máu (có kim cỡ 25G)
364606	Ống	TUBE ACD GC 16X100 8.5 PLBL YEL
364815	Cái	HOLDER ONE USE NONSTACKABLE
364879	Cái	Vacutainer Standard Yellow Holder
365963	Ống	Ống nghiệm Serum 0,5ml
365965	Ống	Ống nghiệm Lithium Heparin 0,5ml
365974	Ống	Microtainer Tubes with K2E (K2EDTA)
366430	Ống	Vacutainer® Venous Blood Collection Tube Plain 10 mL Conventional Closure Glass Tube
366594	Ống	BD Microtainer Contact-Activated Lancet 2.0 mm x 1.5 mm
367203	Sợi	Vacutainer Brand STRETCH Latex Free Tourniquet
367281	Cái	Vacutainer Safety-Lok Blood Collection Set (21G)
367283	Cái	Vacutainer Safety-Lok Blood Collection Set (23G)
367285	Cái	Vacutainer Safety-Lok Blood Collection Set (25G)
367290	Cái	Vacutainer Multiple Sample Luer Adapter
367292	Cái	WINGSET SLBCS 23X.75 7LUER
367525	Ống	Tube EDTA PLH 16x100 10.0 PLBLCE LAV
367526	Ống	BD Vacutainer LH 170 I.U. Plus Blood Collection Tubes
367587	Ống	BD Vacutainer Sodium Fluoride: 3mg. Na2 EDTA: 6mg Blood Collection Tubes
367812	Ống	Ống nghiệm chân không BD Vacutainer® serum 4ml
367815	Ống	BD Vacutainer® Plus Plastic Serum Blood Collection Tubes for Serum Determination, 13 x 100mm, 6mL Draw Volume, Paper Label and Red Hemogard™ Closure
367841	Ống	Ống nghiệm chân không BD Vacutainer® EDTA 2ml
367856	Ống	BD Vacutainer® Venous Blood Collection Tube K2 EDTA Additive 3 mL BD Hemogard™ Closure Plastic Tube
367861	Ống	Ống nghiệm chân không EDTA K2 4ml
367863	Ống	Ống nghiệm chân không EDTA K2 6ml
367874	Ống	TUBE NAHEP PLC 16X100 10.0 PLBL GN
367880	Ống	TUBE LIHEP PLC 16X100 10.0 PLBL GN
367884	Ống	Ống nghiệm chân không Lithium Heparin 4ml
367896	Ống	Ống nghiệm chân không Serum 10ml
367921	Ống	Ống nghiệm chân không Glucose 2ml
367922	Ống	Ống nghiệm chân không Glucose 4ml
367953	Ống	Tube SST II PLH 16x100 8.5 PLBL CE GLD
367957	Ống	BD Vacutainer SST II Advance Plus Blood Collection Tubes
367986	Ống	BD Vacutainer® SST™ Blood Collection Tubes
368101	Cái	Lancet lấy máu quikheel
368608	Cái	NEEDLE ECLIPSE 22X1.25
368872	Cái	Vacutainer Pronto Quick Release Needle Holder
3691-12	Chai	Gel rửa tay diệt khuẩn PURELL 354ml
380100331	Cái	Rovers® Cervex-Brush® sterile 100 pcs
381312	Cái	Insyte-W (24GA) (0.75 IN)
382412	Cái	Angiocath Plus (24GA)
382423	Cái	Angiocath Plus (22GA)
382434	Cái	Angiocath Plus (20GA) (1.16 IN) (1.1mm x 30mm)
382437	Cái	Angiocath Plus (20GA) (1.88 IN) (1.1mm x 48mm)
382444	Cái	Angiocath Plus (18GA)
382912	Cái	Insyte Autoguard BC Pro Winged (24GA)
382923	Cái	Insyte Autoguard BC Pro Winged (22GA)
382933	Cái	Insyte Autoguard BC Pro Winged (20GA)
382944	Cái	Insyte Autoguard BC Pro Winged (18GA) 1.16IN
383531	Cái	NEXIVA 24GA 0.75IN Y
383532	Cái	NEXIVA 22GA 1.00IN Y
383537	Cái	NEXIVA 20GA 1.25IN HF Y
383641	Cái	BD NEXIVA 24G
